gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000124,1,1686749758190077700,0.1024,0.109824,0.568064,18.032384,78.460928,99.5328
0000000314,1,1686749758449576000,0.039936,0.04096,0.447488,23.123712,93.483264,114.6048
0000000219,1,1686749758712613600,0.04864,0.049408,0.45824,16.413184,87.964672,109.211392
0000000501,1,1686749758736482800,0.038144,0.039168,0.688896,17.261568,77.26336,98.323712
0000000408,1,1686749758817213000,0.047616,0.04864,0.627968,20.070912,80.80128,102.125824
0000000032,1,1686749758962971600,0.036608,0.037632,0.480256,21.631488,79.393024,100.592384
0000000125,1,1686749759190344700,0.04736,0.04864,0.534016,18.643456,80.790272,101.937408
0000000315,1,1686749759449858000,0.05376,0.054528,1.394176,23.002112,84.021248,105.036544
0000000220,1,1686749759712743700,0.045312,0.046336,0.492544,16.05504,82.125056,103.20128
0000000502,1,1686749759736755500,0.043008,0.044288,0.59008,15.99488,79.683072,100.950784
0000000409,1,1686749759817484300,0.037632,0.038912,2.126592,18.519296,95.53152,116.841472
0000000033,1,1686749759963158800,0.040704,0.04224,0.580864,25.502976,99.39328,120.676864
0000000126,1,1686749760190588700,0.047616,0.048384,0.62464,23.431424,88.426496,109.719296
0000000316,1,1686749760450089500,0.040448,0.041472,0.607744,22.731008,116.93568,137.976064
0000000221,1,1686749760712852700,0.047616,0.04864,0.49664,36.465664,162.300928,183.390208
0000000503,1,1686749760736970200,0.031488,0.032512,0.637952,53.334272,149.921024,171.030272
0000000410,1,1686749760817734100,0.03328,0.03456,2.183936,28.575488,92.998144,114.0736
0000000034,1,1686749760963426000,0.059648,0.060928,0.571136,17.102848,72.408576,93.683968
0000000127,1,1686749761190817300,0.043008,0.043776,0.463616,21.33888,85.581824,106.780928
0000000317,1,1686749761450397200,0.04864,0.049664,0.634112,18.9632,80.663552,101.851904
0000000222,1,1686749761713124000,0.06272,0.064,0.484864,20.449024,106.291968,127.442176
0000000504,1,1686749761737142800,0.033792,0.034816,0.475904,25.201408,100.237056,121.696512
0000000411,1,1686749761817988000,0.04224,0.04352,2.361088,20.825088,83.995648,105.345024
0000000035,1,1686749761963636000,0.113408,0.115456,0.53504,18.263808,74.732288,95.996416
0000000128,1,1686749762191076000,0.041472,0.04224,0.557824,20.184832,81.251328,102.498048
0000000318,1,1686749762450624800,0.042752,0.044032,0.56704,27.812864,84.766208,105.844736
0000000223,1,1686749762713358000,0.045312,0.046336,0.461824,22.280448,113.149184,134.295296
0000000505,1,1686749762737419000,0.039168,0.040448,0.564736,29.575168,112.815104,135.236864
0000000600,1,1686749762806905000,0.104192,0.105472,0.894208,28.25344,95.862272,121.037568
0000000412,1,1686749762818127000,0.090368,0.091648,0.544256,20.658432,85.631488,106.740992
0000000036,1,1686749762963870700,0.04224,0.043264,0.521984,22.831872,92.530432,113.48992
0000000129,1,1686749763191310800,0.0768,0.08064,0.728576,18.945792,81.183232,102.429952
0000000319,1,1686749763450921500,0.058368,0.059392,0.757504,22.708992,88.840704,109.928704
0000000224,1,1686749763713581300,0.045056,0.045824,0.563712,24.462336,100.791808,121.888512
0000000506,1,1686749763737535200,0.041728,0.042752,0.487168,29.330432,108.141056,129.423616
0000000601,1,1686749763807135700,0.036096,0.037888,0.562432,18.98624,102.710272,123.841536
0000000413,1,1686749763818342400,0.060416,0.061952,2.213376,23.244288,94.93504,116.096512
0000000037,1,1686749763964132400,0.041216,0.04224,0.605696,18.132992,80.745472,101.903616
0000000130,1,1686749764191606800,0.063232,0.064,0.7168,21.94304,81.84192,103.300864
0000000320,1,1686749764451128800,0.044032,0.0448,0.507648,20.96384,88.88704,109.98784
0000000225,1,1686749764713805600,0.049664,0.050688,0.517888,17.684992,93.100032,114.091776
0000000507,1,1686749764737759000,0.05888,0.06912,1.664768,19.392256,84.321536,105.448704
0000000602,1,1686749764807457300,0.044032,0.050688,0.638976,18.621184,98.662656,119.934976
0000000414,1,1686749764818425900,0.032256,0.033024,0.4288,28.535808,98.085376,119.192832
0000000038,1,1686749764964369400,0.045568,0.046336,0.78976,18.415104,73.862144,95.032576
0000000131,1,1686749765191861200,0.047872,0.049152,0.536832,21.902592,84.531712,105.797888
