gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000134,1,1686425924665192000,0.029184,0.52352,0.029952,23.10144,121.11104,142.363392
0000000056,1,1686425924765422300,0.037376,0.437248,0.038656,148.752896,208.748032,230.2272
0000000135,1,1686425924865417700,0.038144,0.468992,0.038912,147.73504,225.83936,246.975232
0000000057,1,1686425924965682700,0.052224,0.555008,0.053248,20.637952,113.21984,134.455296
0000000200,1,1686425924986414000,0.101888,0.802048,0.103168,34.701312,111.751936,132.800768
0000000136,1,1686425925065550600,0.033536,0.426752,0.034048,37.01248,94.475264,115.648512
0000000058,1,1686425925165936400,0.039168,0.423424,0.040448,143.813632,215.3792,236.563456
0000000201,1,1686425925186507500,0.031744,0.638464,0.032768,131.10912,219.8912,240.977664
0000000137,1,1686425925265753000,0.051712,0.751872,0.053248,119.819776,207.036672,228.36736
0000000059,1,1686425925366061800,0.029696,0.367872,0.030976,39.473664,123.21024,144.407552
0000000202,1,1686425925386751500,0.03968,0.622592,0.04096,38.048256,123.278592,144.233472
0000000138,1,1686425925465942500,0.0448,0.428032,0.045824,28.566528,88.759552,109.929984
0000000060,1,1686425925566327000,0.038656,0.520704,0.03968,142.851072,213.556736,234.570752
0000000203,1,1686425925586821400,0.03968,0.507904,0.04096,145.531136,231.84896,253.04576
0000000139,1,1686425925666049500,0.031488,0.52224,0.032256,115.163392,198.216448,219.275776
0000000061,1,1686425925766543400,0.024832,0.568576,0.025856,34.497024,112.891136,134.046464
0000000204,1,1686425925786883300,0.041728,0.604672,0.042496,48.249344,114.802688,137.233408
0000000140,1,1686425925866365000,0.027648,0.43008,0.02816,222.615552,321.031424,342.060032
0000000062,1,1686425925966836000,0.063232,0.539136,0.065024,138.361856,218.478848,239.359488
0000000205,1,1686425925987120000,0.0512,0.505088,0.052992,150.015488,239.704832,260.668416
0000000141,1,1686425926066637000,0.05248,0.408064,0.05376,22.983424,173.937664,195.058432
0000000063,1,1686425926167034600,0.03456,0.48384,0.035584,37.500672,118.396672,139.529984
0000000206,1,1686425926187316700,0.038912,0.573696,0.040192,57.267712,119.171072,140.36992
0000000142,1,1686425926266824400,0.073472,0.400384,0.074496,200.218112,285.907968,307.058176
0000000064,1,1686425926367243800,0.024576,0.340224,0.025344,136.209152,224.444928,245.617408
0000000207,1,1686425926387473000,0.041728,0.567296,0.042752,149.533184,258.53824,279.535104
0000000143,1,1686425926467008800,0.037888,0.410368,0.039168,35.775744,180.240384,201.239808
0000000065,1,1686425926567472400,0.034304,0.528384,0.035328,43.372032,121.10208,142.28992
0000000208,1,1686425926587751400,0.049152,0.530688,0.04992,76.095744,132.910336,154.112
0000000144,1,1686425926667235600,0.039168,0.496896,0.040192,199.8848,288.551936,309.775104
0000000066,1,1686425926767704000,0.034816,0.458752,0.03584,140.321792,232.397824,255.016192
0000000209,1,1686425926787908900,0.034304,0.588544,0.035328,158.857728,241.316608,262.427392
0000000145,1,1686425926867357400,0.033792,0.438528,0.034816,38.764288,171.308544,192.3776
0000000067,1,1686425926967937000,0.036352,0.363776,0.037376,49.654272,123.584,144.62848
0000000210,1,1686425926988042500,0.036608,1.144064,0.037376,55.422208,118.940928,139.956992
0000000146,1,1686425927067565000,0.041216,0.603648,0.041984,193.536256,275.527424,297.117696
0000000068,1,1686425927167959000,0.035328,0.433664,0.036864,144.974592,231.110144,252.240896
0000000211,1,1686425927188221200,0.050944,0.56832,0.05248,151.524096,240.342272,261.510656
0000000147,1,1686425927267758300,0.03328,0.444416,0.034304,27.008768,157.726976,178.965248
0000000069,1,1686425927368215300,0.039424,0.556288,0.040448,46.03904,116.390656,137.572096
0000000212,1,1686425927388362000,0.027392,1.19808,0.028416,51.825152,108.762368,129.979392
0000000148,1,1686425927468072400,0.042496,0.492544,0.043264,177.945856,248.252928,269.487104
0000000070,1,1686425927568290800,0.04096,0.5248,0.041728,154.455808,238.273536,259.38432
0000000213,1,1686425927588575500,0.060416,0.544768,0.06144,134.447872,218.742016,243.560448
0000000149,1,1686425927668235800,0.027136,0.515072,0.068864,75.256576,160.514304,181.523968
0000000071,1,1686425927768555500,0.097024,0.457728,0.097792,62.211072,127.579136,148.483328
0000000214,1,1686425927788745700,0.03968,0.488192,0.040704,43.778304,108.56192,129.711104
0000000150,1,1686425927868311800,0.046336,0.576512,0.04736,181.28768,269.352704,290.588672
0000000072,1,1686425927968717800,0.041472,0.540672,0.042752,167.076352,298.771712,319.796736
0000000215,1,1686425927988974800,0.046336,0.494336,0.047872,146.396672,255.920896,277.671168
0000000151,1,1686425928068309000,0.028928,0.639488,0.030208,93.885696,197.337344,218.423296
0000000073,1,1686425928168917800,0.03072,0.350208,0.031488,41.80096,169.708032,190.86976
0000000216,1,1686425928189148200,0.044032,0.577792,0.0448,69.769472,146.177024,167.38176
0000000152,1,1686425928268425500,0.056576,0.562688,0.057856,222.347008,379.930624,403.009792
0000000074,1,1686425928369107700,0.037888,0.426496,0.038912,228.481536,371.016192,392.13056
0000000217,1,1686425928389342200,0.038144,0.49152,0.039424,196.590848,360.705024,381.806336
0000000153,1,1686425928468770000,0.034816,0.488448,0.035584,29.462784,219.487744,240.737536
0000000075,1,1686425928569265200,0.017152,0.466688,0.01792,64.20608,177.25952,198.395392
0000000218,1,1686425928589691400,0.038912,0.582912,0.040448,79.808768,214.903552,235.753728
0000000154,1,1686425928669056000,0.054016,2.222848,0.05504,41.199104,120.706816,142.023424
0000000076,1,1686425928769358000,0.031488,0.475648,0.032768,204.249088,303.503616,324.51072
0000000219,1,1686425928789894000,0.031488,0.612096,0.032256,26.873856,84.69504,105.596928
0000000155,1,1686425928869294800,0.0384,0.616704,0.039424,140.448768,208.0896,229.301504
0000000077,1,1686425928969493800,0.03584,0.612352,0.036608,18.603008,150.233344,171.425536
0000000220,1,1686425928990178300,0.040192,0.488192,0.041472,108.776704,177.060608,198.20288
0000000156,1,1686425929069511700,0.038656,0.402432,0.03968,25.35296,96.793344,117.997824
0000000078,1,1686425929169758200,0.042752,0.50304,0.04352,171.579392,246.042112,266.70976
0000000221,1,1686425929190329600,0.02816,0.420096,0.029184,205.096192,309.419264,330.644736
0000000157,1,1686425929269624800,0.031744,0.439808,0.032768,120.744192,203.546112,224.79872
0000000079,1,1686425929370012000,0.054784,0.393472,0.055808,67.516416,147.904256,168.942592
0000000222,1,1686425929390533400,0.713472,3.104512,0.716032,21.903616,159.35232,180.48384
0000000158,1,1686425929470007000,0.030976,0.448512,0.032,22.560768,88.313344,109.574656
0000000080,1,1686425929570156300,0.034816,0.751104,0.035584,165.744896,248.882432,270.736128
0000000223,1,1686425929590780700,0.071936,0.865536,0.07296,186.67904,284.026112,305.03552
0000000159,1,1686425929670081000,0.0448,0.45312,0.045824,113.353728,201.896192,223.14368
0000000081,1,1686425929770244400,0.024832,0.553984,0.025856,69.222912,149.317888,170.427392
0000000224,1,1686425929790955000,0.029184,0.397056,0.029952,30.69824,141.284352,162.460416
0000000160,1,1686425929870117400,0.04224,0.523264,0.043264,228.629504,380.089856,401.133824
0000000082,1,1686425929970562000,0.056576,0.530176,0.057344,172.498944,353.18656,374.366464
0000000225,1,1686425929991202600,0.078336,1.39776,0.079872,175.561216,326.0416,347.260416
0000000161,1,1686425930070380000,0.046848,0.457472,0.047872,28.73088,263.136256,284.119808
0000000083,1,1686425930170762200,0.074496,0.612608,0.075776,54.148608,264.450304,285.677568
0000000226,1,1686425930191437800,0.031232,0.478208,0.032256,35.60832,246.80448,268.12928
0000000162,1,1686425930270720500,0.044288,0.453888,0.045568,84.155904,192.655872,213.710848
0000000084,1,1686425930370966800,0.044544,0.389376,0.045568,87.928064,158.07488,179.32416
0000000227,1,1686425930391418600,0.075008,0.493056,0.07552,69.320192,140.502784,161.803776
0000000163,1,1686425930471012400,0.044032,0.472832,0.045312,215.985664,285.779968,306.806784
0000000085,1,1686425930571182000,0.043008,0.602112,0.043776,202.4064,317.655552,338.772736
0000000228,1,1686425930591545900,0.026624,0.329728,0.027392,182.786816,282.511872,303.468544
0000000164,1,1686425930671007700,0.02432,0.580864,0.025088,20.133632,142.341632,163.423744
0000000086,1,1686425930771452200,0.043776,0.456704,0.0448,27.17056,187.514112,208.634624
0000000229,1,1686425930791823000,0.032768,0.365312,0.033792,32.721664,171.049728,192.12288
0000000165,1,1686425930871307300,0.036608,0.505344,0.037632,168.045312,305.676288,326.642688
0000000087,1,1686425930971421000,0.02944,0.435968,0.030208,25.640704,134.023936,155.226112
0000000230,1,1686425930992000300,0.038912,0.41984,0.040192,214.510848,326.75968,348.701184
0000000166,1,1686425931071521000,0.042496,0.565504,0.043776,32.287232,212.865536,234.087424
0000000088,1,1686425931171698000,0.041216,0.53888,0.04224,165.15328,238.67776,259.628544
0000000231,1,1686425931192179700,0.024832,0.850432,0.025856,44.15232,140.180992,161.366784
0000000167,1,1686425931271632000,0.040192,0.367872,0.041472,34.524672,131.124992,152.169984
0000000089,1,1686425931371740400,0.02944,0.329472,0.030208,49.837056,118.508288,139.50208
0000000232,1,1686425931392376000,0.031488,0.456448,0.040704,157.499648,246.93504,267.900928
0000000168,1,1686425931471854800,0.044032,0.539136,0.045056,153.4592,220.4608,241.63584
0000000090,1,1686425931571918300,0.049664,0.483584,0.052224,141.722368,215.611648,236.671744
0000000233,1,1686425931592608300,0.027136,0.414208,0.027904,58.166272,141.826816,162.971648
0000000169,1,1686425931672022300,0.03712,0.40576,0.040192,40.85888,116.890112,138.066944
0000000091,1,1686425931772121300,0.018688,0.487168,0.018944,29.777664,85.049088,106.220544
0000000234,1,1686425931792775700,0.087296,0.549888,0.08832,159.380992,252.4736,273.5296
0000000170,1,1686425931872252000,0.040704,0.474368,0.041728,162.685952,252.56576,273.94176
0000000092,1,1686425931972426200,0.055808,0.5568,0.056832,124.284672,222.770176,243.56992
0000000235,1,1686425931992969000,0.033792,0.470784,0.034816,65.654784,171.42272,192.65408
0000000171,1,1686425932072499200,0.048384,0.495104,0.049664,69.186304,164.631296,185.80224
0000000093,1,1686425932172680200,0.043008,0.409088,0.043776,38.978816,112.612096,133.429504
0000000236,1,1686425932193167400,0.038144,0.500992,0.039424,188.770816,249.76512,270.988032
0000000172,1,1686425932272674600,0.044544,0.389376,0.045568,189.870592,289.268992,310.971904
0000000094,1,1686425932372699400,0.043008,0.493568,0.044032,133.39776,200.65664,221.8432
0000000237,1,1686425932393419800,0.045056,0.580608,0.046336,16.851456,130.255616,151.638784
0000000173,1,1686425932472876800,0.066816,0.502016,0.068096,31.122432,158.467072,179.482112
0000000095,1,1686425932573662200,0.030464,0.57344,0.031232,225.796352,316.03456,337.128192
0000000238,1,1686425932593486300,0.043776,0.496128,0.045056,154.6176,228.49536,249.506304
0000000174,1,1686425932673113000,0.043264,0.519168,0.044288,182.220544,267.613696,288.649216
0000000300,1,1686425932679853600,0.104704,0.824064,0.105984,27.98848,109.369856,130.779392
0000000096,1,1686425932773794800,0.041216,0.45056,0.042496,25.73696,164.052736,185.174272
0000000239,1,1686425932793692000,0.027392,0.406272,0.02816,47.666944,125.633792,146.812416
0000000175,1,1686425932873290000,0.033024,0.363264,0.033792,22.430208,113.797888,134.907136
0000000301,1,1686425932880241000,0.03584,0.698112,0.036864,125.509632,201.0944,222.16448
0000000097,1,1686425932974001000,0.038144,0.512512,0.038912,184.857088,272.377856,293.991936
0000000240,1,1686425932993958100,0.048896,0.531712,0.04992,144.994048,223.927552,244.89472
0000000176,1,1686425933073489000,0.026624,0.428032,0.027648,143.408896,237.614592,258.565376
0000000302,1,1686425933081742000,0.037888,0.507136,0.039168,233.892608,315.771648,336.846848
0000000098,1,1686425933174192600,0.048384,0.424192,0.053504,20.729088,170.161664,191.411968
0000000241,1,1686425933194216700,0.026624,0.400896,0.027648,40.736512,139.577856,160.816384
0000000177,1,1686425933273724000,0.049664,0.460288,0.050944,62.17728,136.223488,157.273344
0000000303,1,1686425933281753000,0.040704,0.68608,0.041728,44.996608,149.038848,170.217984
0000000099,1,1686425933374348000,0.048384,0.478208,0.054528,196.335616,287.627264,308.833792
0000000242,1,1686425933394466300,0.0384,0.41472,0.039936,164.043008,262.814208,283.967232
0000000178,1,1686425933473943800,0.039424,0.460544,0.040448,166.144768,262.343424,283.598848
0000000304,1,1686425933481927700,0.029184,0.402688,0.030208,186.286336,289.501184,310.668288
0000000243,1,1686425933594685200,0.028416,0.494592,0.029184,79.753216,174.545152,195.819264
0000000179,1,1686425933674106600,0.036352,0.432896,0.037632,87.763712,156.929792,178.073088
0000000305,1,1686425933682173700,0.047872,0.545792,0.04864,31.72096,151.835904,172.713216
0000000244,1,1686425933794876000,0.0448,0.581376,0.046336,199.8656,276.173312,297.507072
0000000180,1,1686425933874419000,0.044032,0.552704,0.045056,190.29888,295.202304,316.860928
0000000306,1,1686425933882300000,0.030464,0.36096,0.031488,180.185344,284.85504,306.013952
0000000245,1,1686425933994845400,0.020224,0.35584,0.020736,31.96288,169.80352,190.803456
0000000181,1,1686425934074486500,0.029952,0.31744,0.03072,40.404992,158.805248,179.911168
0000000307,1,1686425934082532000,0.031232,0.35584,0.032,32.108032,150.773248,171.982848
0000000246,1,1686425934195070200,0.032256,0.487168,0.033536,188.25856,263.678208,284.813824
0000000182,1,1686425934274734600,0.027648,0.423936,0.028416,189.7664,302.486784,323.648
0000000308,1,1686425934282694000,0.048896,0.5248,0.049664,181.236224,291.186944,312.2368
0000000247,1,1686425934395269000,0.02944,0.498432,0.030464,19.532032,152.070912,173.370624
0000000183,1,1686425934474830000,0.029696,0.51328,0.030976,33.80864,181.09824,202.149376
0000000309,1,1686425934482908000,0.040192,0.569344,0.04096,23.981312,172.22912,193.613824
